"”N","1ŒŽ","2ŒŽ","3ŒŽ","4ŒŽ","5ŒŽ","6ŒŽ","7ŒŽ","8ŒŽ","9ŒŽ","10ŒŽ","11ŒŽ","12ŒŽ","”N‚Ì’l"
1931,-7.7,-7.9,-0.4,4.3,9.2,13.4,16,21.3,17.1,10.4,4.2,-2.6,6.4
1932,-2.5,-5.6,-1.2,5.4,11.5,15.9,18.5,19.8,16.3,11.3,5.2,-1.6,7.8
1933,-6.8,-7.2,-3.6,4.3,11.5,15.2,22.4,22.8,16.6,9.2,3.7,-2.1,7.2
1934,-4.9,-4.9,-1.6,4.9,10.9,16.7,17.7,19.6,16,9.3,3.6,-2.6,7.1
1935,-5.4,-2.1,-0.3,5.5,10.4,14.9,19.2,19.3,16,12.1,3.5,-4.2,7.4
1936,-6,-4.3,-1.4,4.5,10.2,16.2,19,20.5,17.5,10.4,3.5,-1.5,7.4
1937,-5.4,-3.5,-1.7,5.1,9.7,14.7,22.1,21.7,16.3,9.9,2.9,-4.9,7.2
1938,-5.9,-5,0,6.6,12.4,15.3,19.9,23.5,16.8,9.4,3,-4.4,7.6
1939,-7.8,-5.9,-1.2,4.8,10.4,16.1,21.1,22.1,18.7,10.3,3.9,-2.4,7.5
1940,-7.3,-4.6,0.1,4.8,11.5,14.5,20.1,21,15.2,11,5.2,-0.9,7.6
1941,-5.4,-5,-1.3,4.7,10.6,14.9,17.5,19.6,16.6,10.6,3.9,-1.6,7.1
1942,-7.1,-7,0.1,6.2,10.6,15.8,20.4,20,16.3,10.3,3.3,-3.5,7.1
1943,-5.6,-4.8,-1,5.1,10.6,16.7,22.3,23.6,17.9,10.7,2.5,-2.7,7.9
1944,-6.4,-6.3,-1.2,3.8,11.7,16.3,21.2,22.7,17.7,10.5,2.8,-6.1,7.2
1945,-8.8,-6.5,-1.3,5.8,9,13.9,16.7,22.1,16.1,10.8,4.2,-4.1,6.5
1946,-5.3,-5.2,-2.8,6.1,10.1,18.1,21.4,24.2,17.2,11.7,5.2,-2.8,8.2
1947,-4.4,-5.2,-1.4,5.9,11.3,14.5,20.4,21.1,15.9,9.6,2.4,-4.4,7.1
1948,-2.4,-4.1,-0.4,8,13.5,16.4,21.8,23.7,17.1,10.5,3.5,-0.2,9
1949,-1.9,-1.4,-2.1,4.2,13.1,15.2,20.4,23.5,17.7,10.7,2.8,-3.6,8.2
1950,-4.8,-3.1,-0.4,6.8,12.5,16.4,22.8,24,17.1,8.3,3.7,-2.9,8.4
